ticker,name,market,fund_type,is_leveraged_inverse,issuer,tracked_index,inception_date,listing_date,data_start_date,category_raw,twse_levinv_flag,units_issued,full_name,en_name,source
00657,國泰日經225,TWSE,passive_equity,False,李偉正,日經225,2016-04-25,2016-05-09,2024-01-01,國外成分證券指數股票型基金,是,6613000,國泰日本ETF傘型證券投資信託基金之日經225證券投資信託基金,Cathay Nikkei 225 Currency-hedged ETF Fund,twse_opendata
00657K,國泰日經225+U,TWSE,passive_equity,False,李偉正,日經225,2017-10-24,2017-10-24,2024-01-01,國外成份/加掛外幣證券指數股票型基金,是,29900,國泰日經225證券投資信託基金(加掛美元受益憑證)-國外成份/加掛外幣證券指數股票型基金,Cathay Nikkei 225 Currency-hedged ETF Fund(USD),twse_opendata
00658L,國泰日本正2,TWSE,leveraged,True,李偉正,富時日本單日正向2倍指數,2016-04-25,2016-05-09,2024-01-01,槓桿/反向指數股票型基金,是,845000,國泰日本ETF傘型證券投資信託基金之富時日本單日正向2倍證券投資信託基金,Cathay FTSE Japan Daily Leveraged 2X ETF Fund,twse_opendata
00659R,國泰日本反1,TWSE,leveraged,True,李偉正,富時日本單日反向1倍指數,2016-04-25,2016-05-09,2024-01-01,槓桿/反向指數股票型基金,是,3080000,國泰日本ETF傘型證券投資信託基金之富時日本單日反向1倍證券投資信託基金,Cathay FTSE Japan Daily Inversed ETF Fund,twse_opendata
00660,元大歐洲50,TWSE,passive_equity,False,劉宗聖,歐洲 STOXX50 指數,2016-06-01,2016-06-15,2024-01-01,國外成分證券指數股票型基金,是,8031000,元大已開發國家傘型證券投資信託基金之元大歐洲50證券投資信託基金,Yuanta EURO STOXX 50 ETF,twse_opendata
00661,元大日經225,TWSE,passive_equity,False,劉宗聖,日經225指數,2016-06-01,2016-06-15,2024-01-01,國外成分證券指數股票型基金,是,23925000,元大已開發國家傘型證券投資信託基金之元大日經225證券投資信託基金,Yuanta Nikkei 225 ETF,twse_opendata
00662,富邦NASDAQ,TWSE,passive_equity,False,黃昭棠,NASDAQ-100 指數,2016-06-03,2016-06-17,2024-01-01,國外成分證券指數股票型基金,是,751529000,富邦NASDAQ-100證券投資信託基金,Fubon  NASDAQ-100  ETF,twse_opendata
00663L,國泰臺灣加權正2,TWSE,leveraged,True,李偉正,臺灣證券交易所發行量加權股價日報酬正向兩倍指數,2016-07-01,2016-07-14,2024-01-01,槓桿/反向指數股票型基金,否,112663000,國泰臺指ETF傘型證券投資信託基金之臺灣加權指數單日正向2倍證券投資信託基金,Cathay TAIEX Daily Leveraged 2X ETF Fund,twse_opendata
00664R,國泰臺灣加權反1,TWSE,leveraged,True,李偉正,臺灣證券交易所發行量加權股價日報酬反向一倍指數,2016-07-01,2016-07-14,2024-01-01,槓桿/反向指數股票型基金,否,776575000,國泰臺指ETF傘型證券投資信託基金之臺灣加權指數單日反向1倍證券投資信託基金,Cathay TAIEX Daily Inversed ETF,twse_opendata
00665L,富邦恒生國企正2,TWSE,leveraged,True,黃昭棠,恒生國企槓桿指數,2016-07-21,2016-08-05,2024-01-01,槓桿/反向指數股票型基金,是,467465000,富邦恒生國企ETF傘型證券投資信託基金之富邦恒生國企單日正向兩倍證券投資信託基金,Fubon Hang Seng China Enterprises Leveraged Index ETF,twse_opendata
00666R,富邦恒生國企反1,TWSE,leveraged,True,黃昭棠,恒生國企短倉指數,2016-07-21,2016-08-05,2024-01-01,槓桿/反向指數股票型基金,是,14624000,富邦恒生國企ETF傘型證券投資信託基金之富邦恒生國企單日反向一倍證券投資信託基金,Fubon Hang Seng China Enterprises Inverse Index ETF,twse_opendata
00667,元大韓國,TWSE,passive_equity,False,黃古彬,KOSPI 200指數,2016-09-30,2016-10-07,2024-01-01,國外成分證券指數股票型基金,是,929000,元大韓國KOSPI 200證券投資信託基金,Yuanta KOSPI 200 ETF,twse_opendata
00668,國泰美國道瓊,TWSE,passive_equity,False,李偉正,道瓊斯工業平均指數,2016-10-03,2016-10-17,2024-01-01,國外成分證券指數股票型基金,是,11558000,國泰美國ETF傘型證券投資信託基金之道瓊工業平均指數證券投資信託基金,Cathay DJIA ETF,twse_opendata
00668K,國泰美國道瓊+U,TWSE,passive_equity,False,李偉正,道瓊斯工業平均指數,2017-10-24,2017-10-24,2024-01-01,國外成份/加掛外幣證券指數股票型基金,是,10500,國泰道瓊工業平均指數證券投資信託基金(加掛美元受益憑證)-國外成份/加掛外幣證券指數股票型基金,Cathay Dow Jones Industrial Average ETF(USD),twse_opendata
00669R,國泰美國道瓊反1,TWSE,leveraged,True,李偉正,道瓊斯工業平均單日反向指數,2016-10-03,2016-10-17,2024-01-01,槓桿/反向指數股票型基金,是,208617000,國泰美國ETF傘型證券投資信託基金之道瓊工業平均指數單日反向1倍證券投資信託基金,Cathay DJIA Inv 1X ETF,twse_opendata
00670L,富邦NASDAQ正2,TWSE,leveraged,True,黃昭棠,NASDAQ-100正向2倍指數,2017-02-14,2017-02-21,2024-01-01,槓桿/反向指數股票型基金,是,75145000,富邦NASDAQ-100 ETF 傘型證券投資信託基金之富邦NASDAQ-100單日正向兩倍證券投資信託基金,Fubon NASDAQ-100  2X Leveraged Index ETF,twse_opendata
00671R,富邦NASDAQ 反1,TWSE,leveraged,True,黃昭棠,NASDAQ-100反向1倍指數,2016-02-14,2017-02-21,2024-01-01,槓桿/反向指數股票型基金,是,546884000,富邦NASDAQ-100 ETF傘型證券投資信託基金之富邦NASDAQ-100 單日反向一倍證券投資信託基金,Fubon NASDAQ-100 -1X  Inverse Index ETF,twse_opendata
