config,date,plan,return_3m_pct,max_dd_3m_pct,end_deployed_pct,fully_deployed_day
warm_near_high,2017-02-14,dip_5_10_15_or_end,2.1721289407763633,-1.6976572076339957,40.0,63
warm_near_high,2017-02-14,wait_20d_then_all,3.2832423401178312,-2.8037410991634704,40.0,20
warm_near_high,2017-02-14,wait_40d_then_all,3.394960805628222,-2.126464461112154,40.0,40
warm_near_high,2019-11-05,immediate_40,2.971452794041962,-6.750999092276855,40.0,0
warm_near_high,2019-11-05,cash_wait,1.7828716764251684,-4.146481579784911,0.0,-1
warm_near_high,2019-11-05,time_10_monthly,2.3081700222557844,-6.108931493509573,40.0,63
warm_near_high,2019-11-05,time_5_weekly,2.151623211897613,-6.750999092276855,40.0,49
warm_near_high,2019-11-05,dip_3_6_10_time,2.9328585214845715,-5.504166588689319,40.0,54
warm_near_high,2019-11-05,dip_5_10_15_or_end,2.3542996396766824,-4.178900541187325,40.0,63
warm_near_high,2019-11-05,wait_20d_then_all,3.3517897778011285,-6.750999092276855,40.0,20
warm_near_high,2019-11-05,wait_40d_then_all,1.2508387609470484,-6.750999092276844,40.0,40
warm_near_high,2020-07-03,immediate_40,12.099752451657197,-5.725014243352411,40.0,0
warm_near_high,2020-07-03,cash_wait,7.259851470994327,-3.6351738419644897,0.0,-1
warm_near_high,2020-07-03,time_10_monthly,8.534003112092513,-5.213532853784198,40.0,63
warm_near_high,2020-07-03,time_5_weekly,8.461993321832772,-5.7250142433524225,40.0,49
warm_near_high,2020-07-03,dip_3_6_10_time,8.647572870628562,-5.212868821140837,40.0,59
warm_near_high,2020-07-03,dip_5_10_15_or_end,7.617705077862791,-4.429354026414378,40.0,63
warm_near_high,2020-07-03,wait_20d_then_all,6.951566847379098,-5.725014243352411,40.0,20
warm_near_high,2020-07-03,wait_40d_then_all,7.066620708812477,-5.7250142433524225,40.0,40
warm_near_high,2020-11-17,immediate_40,22.73212206962658,-8.395841355603572,40.0,0
warm_near_high,2020-11-17,cash_wait,13.639273241775962,-5.488899225584964,0.0,-1
warm_near_high,2020-11-17,time_10_monthly,17.970276798297036,-7.700474621721575,40.0,63
warm_near_high,2020-11-17,time_5_weekly,19.293394008827992,-8.195341077339746,40.0,49
warm_near_high,2020-11-17,dip_3_6_10_time,16.96803079622633,-7.7381251235631225,40.0,49
warm_near_high,2020-11-17,dip_5_10_15_or_end,15.011031001374842,-5.943357520316606,40.0,63
warm_near_high,2020-11-17,wait_20d_then_all,21.28513803808465,-8.395841355603562,40.0,20
warm_near_high,2020-11-17,wait_40d_then_all,14.858401979969393,-8.395841355603572,40.0,40
warm_near_high,2021-01-15,immediate_40,6.813503698693513,-8.395841355603551,40.0,0
