config,plan,n,avg_return_3m_pct,median_return_3m_pct,win_rate,avg_max_dd_3m_pct,worst_max_dd_3m_pct,avg_fully_deployed_day
near_high_positive_momentum,cash_wait,25,4.4407008147612625,2.5683728803297834,84.0,-5.19368371499941,-16.9960901913799,
similar_now_strict,wait_20d_then_all,1,30.951235695740074,30.951235695740074,100.0,-7.48081675500959,-7.48081675500959,20.0
similar_now_strict,dip_3_6_10_time,1,30.831123864074538,30.831123864074538,100.0,-9.189564005957918,-9.189564005957918,21.0
similar_now_strict,immediate_40,1,30.52560978092531,30.52560978092531,100.0,-10.844119391607732,-10.844119391607732,0.0
similar_now_strict,time_5_weekly,1,28.535735847080133,28.535735847080133,100.0,-8.804860839030958,-8.804860839030958,49.0
similar_now_strict,dip_5_10_15_or_end,1,27.270086980118812,27.270086980118812,100.0,-7.58900420462949,-7.58900420462949,63.0
similar_now_strict,wait_40d_then_all,1,27.229508396824897,27.229508396824897,100.0,-6.737274277931893,-6.737274277931893,40.0
similar_now_strict,time_10_monthly,1,26.24072438866638,26.24072438866638,100.0,-8.146730006285875,-8.146730006285875,63.0
similar_now_strict,cash_wait,1,18.315365868555176,18.315365868555176,100.0,-6.737274277931893,-6.737274277931893,
stretch_only,wait_20d_then_all,8,12.627454656875845,11.471246588544004,87.5,-7.654921987647098,-12.91080585162786,20.0
stretch_only,dip_3_6_10_time,8,11.460675667716163,9.950444658855451,75.0,-8.424927761264433,-18.8787557330659,42.75
stretch_only,immediate_40,8,11.425295070555457,9.90752352315314,75.0,-9.916448199156399,-21.301502882984302,0.0
stretch_only,time_5_weekly,8,10.963237849158572,9.767356997151378,87.5,-8.165708512601038,-15.391620408586737,49.0
stretch_only,wait_40d_then_all,8,10.374971546758548,9.087839434389311,87.5,-7.3248772103155995,-12.91080585162786,40.0
stretch_only,time_10_monthly,8,10.083316688338808,8.893550210679935,87.5,-7.7612806982884415,-15.02443003329642,63.0
stretch_only,dip_5_10_15_or_end,8,9.901488774725578,8.06611865368414,87.5,-6.920525236708553,-17.173448901594668,57.25
stretch_only,cash_wait,8,6.855177042333269,5.9445141138918745,75.0,-6.079532481566778,-12.91080585162786,
warm_near_high,immediate_40,12,9.914186776204318,6.50579642333361,91.66666666666666,-8.408277238217405,-21.301502882984302,0.0
warm_near_high,wait_40d_then_all,12,7.452949385998479,5.734433338448142,91.66666666666666,-6.508037031889508,-17.677060942353418,40.0
warm_near_high,dip_3_6_10_time,12,8.217534845112182,5.472984596655095,91.66666666666666,-7.22629390450689,-20.418252340827703,47.916666666666664
warm_near_high,time_5_weekly,12,8.026950951184654,5.167318478683692,91.66666666666666,-7.468545627385311,-19.81562906305212,49.0
warm_near_high,time_10_monthly,12,7.808100778655848,4.9683449649088445,91.66666666666666,-7.0208869411556565,-18.59923401739213,63.0
warm_near_high,wait_20d_then_all,12,7.957937673193804,4.933645989677771,91.66666666666666,-7.927718329984869,-21.301502882984302,20.0
warm_near_high,dip_5_10_15_or_end,12,6.930727894566277,4.463248996546188,91.66666666666666,-6.040221425945695,-18.327020160810903,61.5
warm_near_high,cash_wait,12,5.948512065722593,3.90347785400017,91.66666666666666,-5.279379071783437,-13.572135037657972,
